"No","Group","Device ID / Name","Lat / Lng","Connection Type","DL","UL","PING","JITTER","ISP","IP Address","LAC","CID","Signal Strength","Network Tech","Device Id","IMSI","IMEI","MSISDN","MCC","MNC","Server Name","App Version","Quality","RXQUAL","ECNO","RSRQ","RXLEV","RSCP","RSRP","LTERSSI","LTECQI","LTESNR","RNC","gNB ID","LCID","TAC","PCI","BWs","FREQ","RFC","Band","RSSI","SNR","CQI","eNB ID","NCID","SsRSRP","SsRSRQ","SsSINR","Time"
"1","CETB023-JABO - @PONDOK INDAH MALL","Samsung SM-A166P","-6.266285 / 106.785083","5G","17.08","3.34","36","3","PT Indonesian Satellite Corporation Tbk (INDOSAT)","114.10.115.61","31404","71","-88","LTE","b1d7cce9c91be126","","b1d7cce9c91be126","","510","01","Cyber Zone A","1.3.43","-13","","","-13","","","-88","-75","0","3","822","210506","","31404","3","20|10|15","1800","1625","B3","-75","","","","71","-78","-11","10","2026-06-15 20:00:32"
"2","CETB023-JABO - @PONDOK INDAH MALL","Samsung SM-A166P","-6.267620 / 106.784471","5G","91.88","6.7","40","3","PT XL Axiata Tbk","112.215.151.192","43656","8","-80","LTE","7f7d6b181347d5ac","","7f7d6b181347d5ac","","510","11","Cyber Zone A","1.3.43","-10","","","-10","","","-80","-71","0","9","1681","430533","","43656","211","15|20|40","2100","325","B1","-71","","","","8","-74","-11","9","2026-06-15 20:00:32"
"3","CETB023-JABO - @PONDOK INDAH MALL","Samsung SM-A166P","-6.266355 / 106.785018","5G","45.21","15.95","23","4","PT Telekomunikasi Selular","182.3.44.71","1241","51","-79","LTE","9f9047a1932e1fec","","9f9047a1932e1fec","","510","10","Cyber Zone A","1.3.43","-11","","","-11","","","-79","-69","0","6","520","133140","","1241","243","20|20|30","1800","1850","B3","-69","","","","51","-70","-11","20","2026-06-15 20:00:32"
"4","CETB007-JABO - @PASIFIC PLACE MALL","Samsung SM-A166P","-6.225585 / 106.810110","4G","25.77","1.67","50","3","PT Telekomunikasi Selular","182.3.50.50","1267","44","-95","LTE","86e2245d4d16ec41","","86e2245d4d16ec41","","510","10","Jakarta Zone A","1.3.43","-4","","","-4","","","-88","-85","0","30","523","","44","1267","493","20|20","2300","38750","TD B40","-85","","","133987","","","","","2026-06-15 20:00:18"
"5","CETB007-JABO - @PASIFIC PLACE MALL","Samsung SM-A166P","-6.225245 / 106.810279","5G","44.4","5.45","26","1","PT XL Axiata Tbk","140.213.2.31","43658","92","-83","LTE","970cf5fbd39b91b1","","970cf5fbd39b91b1","","510","11","Jakarta Zone A","1.3.43","-7","","","-7","","","-83","-77","0","30","1640","420038","","43658","448","15","2100","325","B1","-77","","","","92","-92","-11","25","2026-06-15 20:00:19"
"6","CETB007-JABO - @PASIFIC PLACE MALL","Samsung SM-A166P","-6.225583 / 106.810110","5G","107.58","10.02","27","2","PT Indonesian Satellite Corporation Tbk (INDOSAT)","114.10.64.246","31409","79","-80","LTE","b9171f8a704859c2","","b9171f8a704859c2","","510","01","Jakarta Zone A","1.3.43","-9","","","-9","","","-79","-71","0","28","821","210362","","31409","393","20|10|15","1800","1625","B3","-71","","","","79","-82","-11","29","2026-06-15 20:00:18"
"7","CETB007-JABO - @PASIFIC PLACE MALL","Samsung SM-A166P","-6.225582 / 106.810115","4G","29.3","2.09","34","2","PT Telekomunikasi Selular","182.3.50.50","1267","44","-92","LTE","86e2245d4d16ec41","","86e2245d4d16ec41","","510","10","Jakarta Zone A","1.3.43","-3","","","-3","","","-93","-89","0","29","523","","44","1267","493","20|20","2300","38750","TD B40","-89","","","133987","","","","","2026-06-15 19:50:32"
"8","CETB023-JABO - @PONDOK INDAH MALL","Samsung SM-A166P","-6.266263 / 106.785053","5G","11.85","2.09","33","7","PT Indonesian Satellite Corporation Tbk (INDOSAT)","114.10.115.61","31404","71","-90","LTE","b1d7cce9c91be126","","b1d7cce9c91be126","","510","01","Cyber Zone A","1.3.43","-15","","","-15","","","-90","-75","0","6","822","210506","","31404","3","20|10|15","1800","1625","B3","-75","","","","71","-79","-11","7","2026-06-15 19:50:32"
"9","CETB007-JABO - @PASIFIC PLACE MALL","Samsung SM-A166P","-6.224937 / 106.809910","5G","23.76","9.19","33","3","PT XL Axiata Tbk","140.213.2.31","43658","52","-91","LTE","970cf5fbd39b91b1","","970cf5fbd39b91b1","","510","11","Jakarta Zone A","1.3.43","-4","","","-4","","","-90","-85","0","30","1640","420038","","43658","448","20|15|40","1800","1313","B3","-85","","","","52","-87","-11","27","2026-06-15 19:50:32"
"10","CETB007-JABO - @PASIFIC PLACE MALL","Samsung SM-A166P","-6.225581 / 106.810116","5G","61.28","5.01","32","51","PT Indonesian Satellite Corporation Tbk (INDOSAT)","114.10.64.246","31409","79","-102","LTE","b9171f8a704859c2","","b9171f8a704859c2","","510","01","Jakarta Zone A","1.3.43","-8","","","-8","","","-101","-93","0","11","821","210362","","31409","393","20|10|15","1800","1625","B3","-93","","","","79","-78","-11","19","2026-06-15 19:50:32"
