Timestamp,Latitude,Longitude,CellID,Band,RSRP,RSRQ,SINR,DL_Throughput,UL_Throughput,TAC,CellName
2026-09-04 08:00:00,-6.2085,106.8456,JKT_1023_2,B3,-95,-8,8,45.2,12.1,1001,Jakarta_Central_C2
2026-09-04 08:00:15,-6.2086,106.8457,JKT_1023_2,B3,-94,-7,9,48.5,13.5,1001,Jakarta_Central_C2
2026-09-04 08:00:30,-6.2087,106.8458,JKT_1024_1,B3,-115,-18,2,8.3,1.2,1001,Jakarta_Central_C1
2026-09-04 08:00:45,-6.2088,106.8459,JKT_1024_1,B3,-112,-16,3,15.6,2.3,1001,Jakarta_Central_C1
2026-09-04 08:01:00,-6.2089,106.8460,JKT_1025_3,N78,-105,-10,6,125.4,45.2,1001,Jakarta_Central_5G
2026-09-04 08:01:15,-6.2090,106.8461,JKT_1025_3,N78,-102,-9,7,135.2,52.1,1001,Jakarta_Central_5G
2026-09-04 08:01:30,-6.2091,106.8462,JKT_1025_3,N78,-108,-11,5,95.8,38.6,1001,Jakarta_Central_5G
2026-09-04 08:01:45,-6.2085,106.8456,JKT_1023_2,B3,-96,-8,8,46.1,12.8,1001,Jakarta_Central_C2
2026-09-04 08:02:00,-6.2086,106.8457,JKT_1023_2,B3,-93,-6,10,52.3,14.7,1001,Jakarta_Central_C2
2026-09-04 08:02:15,-6.2087,106.8458,JKT_1024_1,B3,-118,-19,1,5.2,0.8,1001,Jakarta_Central_C1
